Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;577.00;455.75;123.25;0.00;12.00;1,315.00;536.25;18.00;355.25;126.00
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;577.00;464.50;126.00;0.00;12.00;1,317.75;454.25;18.00;70.75;126.00
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;577.00;484.25;157.50;0.00;12.00;1,317.50;421.75;18.00;185.25;126.00
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;577.00;491.50;162.50;0.00;12.00;1,317.00;426.50;18.00;53.00;126.00
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;577.00;449.75;195.25;0.00;12.00;1,318.00;431.50;18.00;79.25;126.00
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;577.00;442.00;258.50;0.00;12.00;1,316.75;430.75;18.00;115.75;126.00
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;577.00;444.00;306.75;0.00;12.00;1,318.50;426.25;18.00;183.75;126.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;577.00;443.00;321.25;0.00;12.00;1,315.25;435.25;18.00;83.00;126.00
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;577.00;438.00;355.50;63.25;12.00;1,316.00;436.50;18.00;38.25;126.00
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;577.00;456.00;333.50;567.25;12.00;1,316.00;443.50;18.00;53.75;126.00
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;577.00;486.75;334.50;1,003.25;12.00;1,316.75;437.75;18.00;37.00;126.00
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;577.00;475.50;266.25;1,334.00;12.00;1,318.25;427.25;18.00;91.75;126.00
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;577.00;466.50;151.00;1,537.00;12.00;1,317.75;429.50;18.00;56.25;126.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;577.00;471.50;143.50;1,403.75;12.00;1,315.75;423.25;18.00;8.00;126.00
